Bid_Number,Contract_Number,test column,Contract_Description,Start_Date,End_Date,Contract_Type,Vendor_Name,Department_Name,Contract_Amount,Total_Contract_Months,Total_Transactions
T1Z56610,110111,,Lockers,20100901,20140831,SSE,RABCO EQUIPMENT CORP,SS&E,202980,36,"$42,908.53"
T0XT6760,110118,,Multi-Function Snow Removal Vehicles - Various Types,20100901,20140831,SSE,STEVES EQUIPMENT SERVICE,SS&E,4700000,36,
S0YC4680,100300,,C-Post and Pedestal Poles,20100601,20140831,SSE,FLAGPOLES INC,SS&E,388583,36,"$33,775.00"
S0Z56240,H00179,,DECISIVE BUSINESS SYSTEMS ACQUISITION LLBid # S0Z56240,20131218,20140930,SSE,DECISIVE BUSINESS SYSTEMS ACQUISITION LL,SS&E,1349000,36,"$97,964.09"
S1Z56730,B10080,,SYSTEMS MAINTENANCE SERVICESBid # S1Z56730,20111008,20140930,SSE,SYSTEMS MAINTENANCE SERVICES,SS&E,198112.25,36,
S1QM222S,A10039,,LIFE TECHNOLOGIES CORPBid # S1QM222S,20110406,20140930,SSE,LIFE TECHNOLOGIES CORP,SS&E,650001,30,"$7,463.67"
T1YN1750,110204,,Maint and Repair Service on the NS 1500 Car Wash System,20110101,20140930,SSE,V P INDUSTRIES INC,SS&E,60001,36,"$1,875.00"
S1WH4560,110124,,Printing of Newsletter for Board of Pensions,20101004,20140930,SSE,PORTICO PRINTING LLC,SS&E,120001,36,"$8,968.24"
S1YB7300,110120,,Sandwiches for Prisoners at CJC and 1801 Vine St,20101001,20140930,SSE,EVENT CATERERS INC,SS&E,332160,36,
S1Z56740,110081,,Maintenance of Data Processing Equipment (Mainframe Channel Attached) - Hewlett Packard,20100701,20140930,SSE,MASON DEVELOPMENT CORP,SS&E,160000.01,36,"$4,565.18"
S1YL6690,110088,,Intermediate Processing Services,20100701,20140930,SSE,BLUE MOUNTAIN RECYCLING,SS&E,30001,36,"$1,074.19"
T0XN666S,110091,,Maint of Honeywell Temperature Control system,20100701,20140930,SSE,HONEYWELL INTERNATIONAL INC,SS&E,302848,36,"$10,308.00"
S1Z5654S,110092,,800 MHZ Radio System Maintenance Services,20100701,20140930,SSE,MOTOROLA SOLUTIONS INC,SS&E,15440648.62,36,"$778,945.20"
T1YN1670,B10070,,BAKER AERIAL LLCBid # T1YN1670,20100701,20140930,SSE,BAKER AERIAL LLC,SS&E,995035,36,"$52,443.05"
U0Z56240,100269,,Office Automation,20100101,20140930,SSE,P C SPECIALISTS INC,SS&E,5100000,30,"$348,039.00"
S5810-10,D40439,,DELL MARKETING L PBid # S5810-10,20031010,20140930,SSE,DELL MARKETING L P,SS&E,6000000,,
S4Z59790,C40067,,P P C LUBRICANTSBid # S4Z59790,20141001,20141031,SSE,P P C LUBRICANTS,SS&E,32000.01,02,"$59,333.75"
S1YC4690,A10168,,ECONOLITE CONTROL PRODUCTS INCBid # S1YC4690,20140226,20141031,SSE,ECONOLITE CONTROL PRODUCTS INC,SS&E,200000,36,"$72,952.00"
00015283,140140,,INTERNATIONAL SALT COMPANY LLCBid # 00015283,20130801,20141031,SSE,INTERNATIONAL SALT COMPANY LLC,SS&E,2335325,12,
S3Z59480,130375,,Pneumatic Tools Repair Parts,20130401,20141031,SSE,AIRMATIC INC,SS&E,120919,35,"$6,829.35"
PR11-12,130307,,LANDSCAPE STRUCTURES INCBid # PR11-12,20130130,20141031,SSE,LANDSCAPE STRUCTURES INC,SS&E,530000,00,"$68,635.72"
S3Z59260,130216,,Hydrogritter Parts,20130101,20141031,SSE,AIRMATIC INC,SS&E,66400.5,36,"$2,772.00"
S2YN1910,120141,,,20111001,20141031,SSE,W CAMPBELL SUPPLY CO OF PENNA LLC,SS&E,51430,24,
S2Z57390,120154,,"Aftermarket Replacement Parts for Passenger Cars, Minivans, Light, Medium and Heavy Duty Trucks",20111001,20141031,SSE,UNI SELECT USA INC,SS&E,1490000,36,"$8,375.73"
S1YN2800,110266,,Portable Generators and Parts,20110501,20141031,SSE,AIRMATIC INC,SS&E,33001,36,
S1Z56640,110034,,Prescription Safety Glasses,20101101,20141031,SSE,MANCINE OPTICAL CO INC,SS&E,200000,36,"$14,332.50"
T0XZ1500,110140,,RFID Tags,20101101,20141031,SSE,RFID TAG SOURCE LLC,SS&E,75001,36,
S1WJ7650,110077,,Restoration and Digitilzation of Library materials,20100820,20141031,SSE,H F GROUP LLC,SS&E,255250,36,"$13,309.50"
T1YD4990,110084,,Fire Alarm Maint,20100801,20141031,SSE,FORTRESS PROTECTION LLC,SS&E,450001,36,"$1,316.18"
S1WV5270,110108,,Provide Repair Services for Video Pipeline Inspection Equipment,20100701,20141031,SSE,U S MUNICIPAL SUPPLY CO,SS&E,457605,36,"$157,530.47"
00010547,A90425,,UNITED PARCEL SERVICEBid # 00010547,20130618,20141110,SSE,UNITED PARCEL SERVICE,SS&E,100000,,
S2XW925S,120199,,"ATI Equipment, Repairs and Parts",20111201,20141130,SSE,PDIR INC,SS&E,375000,36,"$22,580.00"
S2Z57140,120097,,Tree and Tree Planting,20110901,20141130,SSE,M & M LAWN CARE EAST INC,SS&E,4500705,36,"$193,130.00"
U1YL4570,110237,,Emergency Generator Maintenance,20110301,20141130,SSE,FM GENERATOR INC,SS&E,600980,36,"$10,180.45"
S1YL5180,A10238,,ARORA SYSTEMS GROUP LLCBid # S1YL5180,20110301,20141130,SSE,ARORA SYSTEMS GROUP LLC,SS&E,80001,36,"$1,197.51"
T1YL5220,A10203,,RUMSEY ELECTRIC COBid # T1YL5220,20101222,20141130,SSE,RUMSEY ELECTRIC CO,SS&E,400000,36,"$21,802.79"
S1QM2250,110121,,Ribbons & Paper Packs,20101201,20141130,SSE,H P I INTERNATIONAL INC,SS&E,455795.86,36,"$2,960.00"
T1YL5200,110139,,Air Handler Repair Parts for the Philadelphia International Airport,20101201,20141130,SSE,GENERAL ASPHALT PAVING CO OF PHILA,SS&E,615000,36,"$8,842.02"
T1Z56790,110174,,"Fasteners, Washers, and Related Supplies",20101201,20141130,SSE,AUSTIN HARDWARE CO,SS&E,1273000,36,"$71,137.30"
S1YL523S,110177,,Maintenance and Repair of Grinnell Fire Alarm System,20101201,20141130,SSE,SIMPLEXGRINNELL LP,SS&E,1234942,36,"$24,117.02"
S1YL5190,A10037,,RUMSEY ELECTRIC COBid # S1YL5190,20101201,20141130,SSE,RUMSEY ELECTRIC CO,SS&E,800000,36,"$67,282.86"
S1Z56690,110094,,Maint & Monitoring of Burglar & Fire Alarm Systems  Schedule #152-03,20100901,20141130,SSE,FIDELITY BURGLAR & FIRE ALARM CO INC,SS&E,691120,36,"$22,574.99"
T9Z54880,A00188,,P H & S PRODUCTS LLCBid # T9Z54880,20091201,20141130,SSE,P H & S PRODUCTS LLC,SS&E,810400,28,
T1YL5240,110199,,Provide Runway & Taxiway De-icing/Anti-icing Fluid to the Philadelphia's International & Northeast Airport,20101210,20141209,SSE,CRYOTECH DEICING TECHNOLOGY,SS&E,4200637,36,
S1XN8830,110245,,Street Lists Printing for Elections,20110401,20141216,SSE,BARTON & COONEY LLC,SS&E,230001,36,
S1XL8140,110216,,HVAC Repair Service and Parts,20101224,20141224,SSE,GENERAL ASPHALT PAVING CO OF PHILA,SS&E,32150,36,
S0XZ1420,A10019,,DECISIVE BUSINESS SYSTEMS ACQUISITION LLBid # S0XZ1420,20131217,20141231,SSE,DECISIVE BUSINESS SYSTEMS ACQUISITION LL,SS&E,795000,36,"$32,479.00"
PEPPM201,140065,,MYTHICS INCBid # PEPPM201,20130701,20141231,SSE,MYTHICS INC,SS&E,4700000,,
S3XL8280,130121,,Inspect and Repair Sluice Tidegates,20130101,20141231,SSE,G M H ASSOCIATES OF AMERICA INC,SS&E,226226.9,36,
S2QM234S,120200,,Maintenance on Identix TP3800 Tenprinter Fingerprinting Equipment,20120101,20141231,SSE,IDENTIX INC,SS&E,147648,36,
S2OO2960,120214,,Dezurik Valve Repair Parts and Components,20120101,20141231,SSE,FERGUSON ENTERPRISES INC,SS&E,899977,36,"$18,426.00"
T1QG8230,A10193,,INSTANT WEB LLCBid # T1QG8230,20111203,20141231,SSE,INSTANT WEB LLC,SS&E,195000,36,"$7,166.88"
T1Z56810,110295,,"Aggregate, Coarse & Fine",20110501,20141231,SSE,DONATO SPAVENTA & SONS INC,SS&E,521861,36,"$84,644.35"
S1Z57340,110311,,Landscape maint Svc for various Phila Parks & Recreation Locations,20110421,20141231,SSE,ALL SEASONS LANDSCAPING CO INC,SS&E,1000168,24,"$49,630.09"
S1OO2730,110274,,Repair Clamps,20110401,20141231,SSE,SMITH BLAIR INC,SS&E,500393.82,33,"$11,126.64"
S1Z56840,110115,,Directory Services,20110101,20141231,SSE,COLE INFORMATION SERVICES INC,SS&E,90001,36,"$1,876.00"
S1Z56850,110132,,"Work Gloves,  Schedule 1000",20110101,20141231,SSE,STAUFFER MANUFACTURING CO,SS&E,190000.01,36,"$72,985.69"
S1Z56810,110164,,"Aggregate, Coarse & Fine",20110101,20141231,SSE,DONATO SPAVENTA & SONS INC,SS&E,653630.8,36,"$130,538.63"
S1Z57310,110194,,"Flags (International, National, City & State) and Related Items",20110101,20141231,SSE,HUMPHRYS FLAG CO,SS&E,473687.5,36,"$1,400.00"
S1Z56800,A10218,,"Brick, Cement, Concrete and Masonry Materials",20110101,20141231,SSE,DONATO SPAVENTA & SONS INC,SS&E,249111,36,"$191,567.53"
T1YC2080,110059,,"Emergency Sewer Excavations, Repair and Street Restoration",20101001,20141231,SSE,PETRONGOLO CONTRACTORS INC,SS&E,3338625,36,"$138,540.10"
S1VW476S,100308,,"Teledyne Geotech & Met One Meterological Instrumentation, Parts and Labor",20100701,20141231,SSE,MET ONE INSTRUMENTS,SS&E,160000.01,36,$926.25
S1XR721S,110022,,CME Software Annual Maintenenace,20100701,20141231,SSE,VERTIQ SOFTWARE L L C,SS&E,100001,36,
T0Z54940,100164,,Wireless Phone Equipment and Service - Schedule 500,20091001,20141231,SSE,SPRINT SOLUTIONS INC,SS&E,650224,03,"$328,498.63"
S0YB5030,090418,,"Rental of Immunochemistry Analyzer System & Reagents, Consumables & Supplies",20090601,20141231,SSE,SIEMENS HEALTHCARE DIAGNOSTICS INC,SS&E,1350220.5,36,"$7,431.00"
T2VZ6010,120256,,"Provision of Video Surveillance Cameras, Maintenance/Service, Supplies and Installation",20120125,20150124,SSE,CARR & DUFF INC,SS&E,3629180,36,"$174,347.50"
S1YN293S,110289,,Mainenance and Repair of Cutters Edge Saws,20110328,20150131,SSE,WITMER PUBLIC SAFETY GROUP INC,SS&E,100000,36,"$2,306.25"
S1Z56960,110125,,"Electrical Repair Parts for ""In House Use""",20110201,20150131,SSE,ELECTRICAL SYSTEMS & CONSTRUCTION SUPPLY,SS&E,1599700,36,"$96,898.50"
S1Z56930,110147,,Building Materials,20110201,20150131,SSE,DONATO SPAVENTA & SONS INC,SS&E,999370.83,36,"$30,425.57"
S1Z56870,110149,,"Maint Svc, Repair, Supplies & Parts for X-Ray Auto Processors & X-ray Machines",20110201,20150131,SSE,GARDEN STATE IMAGING INC,SS&E,385840,36,"$12,797.37"
T1Z56950,110159,,Liberty Bells & Boxes  Sch 523,20110201,20150131,SSE,SPIKES TROPHIES LTD,SS&E,90000.01,36,"$3,206.44"
S1Z56900,110182,,Fire Extinguisher Service,20110201,20150131,SSE,PHILA & PA FIRE PROTECTION CO INC,SS&E,745033.03,36,"$43,935.60"
S1YN2590,110189,,Direct Replacement Parts for Firefighting Equipment,20110201,20150131,SSE,MUNICIPAL EMERGENCY SERVICES INC,SS&E,195455,36,"$12,437.82"
S1WJ7700,110195,,Monthly Maintenance of Central Library HVAC System,20110201,20150131,SSE,ELLIOTT LEWIS CORP,SS&E,753410,36,"$24,778.07"
S1YN2550,110220,,Testing and Repair of Emergency Medical Equipment,20110201,20150131,SSE,A KINGSBURY CO INC,SS&E,190000.01,36,
S1Z56910,110248,,"Fire Hydrants, Assemblies and Components",20110201,20150131,SSE,FERGUSON ENTERPRISES INC,SS&E,4606029,36,"$146,957.02"
S1QM226S,A10208,,LIFE TECHNOLOGIES CORPBid # S1QM226S,20110201,20150131,SSE,LIFE TECHNOLOGIES CORP,SS&E,643605.05,36,"$39,958.91"
S1Z56970,A10230,,VEOLIA ES TECHNICAL SOLUTIONS LLCBid # S1Z56970,20110201,20150131,SSE,VEOLIA ES TECHNICAL SOLUTIONS LLC,SS&E,120301,36,"$6,656.25"
S1YL6700,110138,,Leaf and Yard Waste Recycling,20101101,20150131,SSE,DELAWARE VALLEY RECYCLING INC,SS&E,214200,36,"$5,247.06"
S1YN1760,110151,,Cleaning and Refinishing of Steel and Aluminum Rims/Wheels,20100201,20150131,SSE,SERVICE TIRE TRUCK CENTERS,SS&E,200000,36,"$6,355.50"
S1YC470S,110307,,Traffic Signal Equipment,20110601,20150228,SSE,IMAGE COMPONENTS INC,SS&E,600076.8,33,
T1Z57020,110322,,Tires & Tubes  Schedule 35,20110601,20150228,SSE,INTER CITY TIRE & AUTO CENTERS INC,SS&E,90000.01,33,"$15,885.58"
T1Z57080,110303,,Emergency Medical Supplies and Equipment,20110501,20150228,SSE,HENRY SCHEIN INC,SS&E,6820346.15,34,"$586,485.08"
U1Z57030,110275,,Glass and Plastics,20110401,20150228,SSE,STATE GLASS & UPHOLSTERY INC,SS&E,800001,36,"$40,448.76"
S1Z57060,110178,,"Purchase of Handcuffs, Leg Irons, etc",20110301,20150228,SSE,ATLANTIC TACTICAL INC,SS&E,227730,36,"$34,092.82"
S1YL6720,110183,,Repair of CCTV Systems,20110301,20150228,SSE,CHARLES W ROMANO CO,SS&E,90001,36,
S1Z57110,110192,,Playground Parts & Materials  Sch 921,20110301,20150228,SSE,SOFSURFACES INC,SS&E,30001,36,
T1Z57320,110198,,Inspection/repair of Sprinkler Systems  Sch 152-04,20110301,20150228,SSE,WAYMAN FIRE PROTECTION INC,SS&E,480615,36,"$1,800.00"
S1Z57100,110201,,Sewer Cleaning Services,20110301,20150228,SSE,MOBILE DREDGING & PUMPING CO,SS&E,2400610,36,"$71,100.14"
S1Z57120,110205,,"Testing, Repair, Clean-up and Final Disposal of PCB Contaminated Solids and Liquids",20110301,20150228,SSE,CLEAN VENTURE INC,SS&E,30001,36,
S1QM2270,110206,,Glock Pistols,20110301,20150228,SSE,WITMER PUBLIC SAFETY GROUP INC,SS&E,763776.5,36,$409.00
S1Z57090,110225,,Stainless Steel Banding Materials,20110301,20150228,SSE,INDEPENDENT METAL STRAP CO,SS&E,160001,36,
S1Z57050,110228,,Rental Service of Contractor's Equip   Sch 97,20110301,20150228,SSE,T N T EQUIPMENT SALES & RENTALS,SS&E,300000,36,"$40,400.00"
S1Z57020,110253,,Tires & Tubes  Schedule 35,20110301,20150228,SSE,MCCARTHY TIRE SERVICE CO OF PHILA INC,SS&E,2200000,36,"$309,528.84"
U1Z57110,110287,,Playground Parts & Materials  Sch 921,20110301,20150228,SSE,GENERAL RECREATION INC,SS&E,130001,36,"$6,650.00"
S1Z56880,110127,,Crime Detection Supplies,20110201,20150228,SSE,SIRCHIE ACQUISITION COMPANY LLC,SS&E,220545,36,$775.50
S1VZ6000,110097,,Internet Access Service,20100701,20150228,SSE,CAVALIER TELEPHONE MID ATLANTIC LLC,SS&E,2807420,36,"$47,221.45"
S3Z59210,130274,,Wipers and Rags,20130401,20150331,SSE,INTERNATIONAL WIPER CO,SS&E,105860,33,"$12,675.00"
S3Z59560,130308,,Inspection/Repair Service for Chemical Storage Tanks,20130401,20150331,SSE,P & R INDUSTRIES INC,SS&E,298176.75,36,"$23,364.65"
S3YQ0780,130316,,Repair/Replacement Services for Kovatch Motor Equipment (KME),20130401,20150331,SSE,W CAMPBELL SUPPLY CO OF PENNA LLC,SS&E,55990,36,
S3Z59200,130321,,Paper Sundries,20130401,20150331,SSE,T FRANK MCCALLS INC,SS&E,110001,33,"$24,265.21"
S3Z59650,130324,,Refrigerants & Substitutes,20130401,20150331,SSE,AIRGAS REFRIGERANTS INC,SS&E,140001,33,"$39,008.92"
S3Z59010,130328,,Folger Adam and Southern Steel Detention Products,20130401,20150331,SSE,CRAFTMASTER HARDWARE CO INC,SS&E,90000.01,32,"$1,745.44"
S3Z59600,130330,,Fire Suppression Systems Services (Public Property),20130401,20150331,SSE,SIMPLEXGRINNELL LP,SS&E,266484,36,"$3,990.00"
S3Z59640,130346,,Curb Stops and Service Line Fittings,20130401,20150331,SSE,LABOV PLUMBING & HEATING SUPPLY INC,SS&E,212375,36,
T3Z59030,130348,,SIGN MATERIALS AND FLEET MARKINGS,20130401,20150331,SSE,GARDEN STATE HIGHWAY PRODUCTS,SS&E,868586.44,32,"$81,881.90"
S3YN1660,130353,,Repair and Replacement Parts for Motor Fuel Distribution Equipment,20130401,20150331,SSE,R J WALSH ASSOCIATES INC,SS&E,152180,36,"$6,778.78"
S3Z59630,130358,,Sludge Gas Equipment Parts,20130401,20150331,SSE,BOWEN CALHOUN & ASSOCIATES INC,SS&E,50000.01,36,
S3Z59220,130359,,"Airport Computer Information System - Materials, Supplies and Equipment",20130401,20150331,SSE,ELLIOTT LEWIS CORP,SS&E,3506238.08,33,"$160,165.36"
S3Z58880,130362,,Condoms,20130401,20150331,SSE,TOTAL ACCESS GROUP,SS&E,799999,30,
S3Z59320,130364,,Maintenance of Savin Plain Copier Machines and Supplies,20130401,20150331,SSE,ELECTRONIC RISKS CONSULTANT,SS&E,420470,30,"$27,926.68"
S3Z59530,130374,,Final Sedimentation Tank Replacement Parts,20130401,20150331,SSE,G P JAGER & ASSOCS,SS&E,30000.01,35,
S3Z59620,130404,,Drug Screen Testing Services,20130401,20150331,SSE,DRUGSCAN INC,SS&E,630565,36,"$42,576.50"
S2Z5833S,130412,,"Hach Instruments, Parts, Supplies and Services Sch 2024",20130401,20150331,SSE,HACH CO,SS&E,500616.5,36,"$54,288.32"
S4Z60330,140227,,"Receptacles, Trash Cans, Mops,and Buckets",20130401,20150331,SSE,ACCOMMODATION MOLLEN INC,SS&E,33512.24,36,
S3Z59180,A30295,,AMERCARE PRODUCTS INCBid # S3Z59180,20130401,20150331,SSE,AMERCARE PRODUCTS INC,SS&E,60000.01,33,"$18,814.40"
S3Z59540,A30389,,Replacement Parts for Implements,20130401,20150331,SSE,UNI SELECT USA INC,SS&E,34000.01,36,"$46,576.00"
S3Z59550,B30369,,"Automotive, Light Truck and Motorcycle Repair and Replacement Parts, OEM Only",20130401,20150331,SSE,CHAPMAN CHEVROLET LLC,SS&E,30000.01,36,
S7D0191S,A70274,,N E C CORPORATION OF AMERICABid # S7D0191S,20130109,20150331,SSE,N E C CORPORATION OF AMERICA,SS&E,700000,12,"$46,987.36"
S2Z57540,120240,,Sleeves and Valves,20120401,20150331,SSE,FERGUSON ENTERPRISES INC,SS&E,4204060,36,"$355,369.90"
U2YL6780,120272,,Repair & Calibration of Radiation Monitors,20120401,20150331,SSE,QAL TEK ASSOCIATES,SS&E,90001,36,
S2Z58210,120279,,Conversion of Documents to Microfilm Sch 112,20120401,20150331,SSE,ALTERNATIVE MICROGRAPHICS INC,SS&E,387068.3,36,"$25,499.45"
S2Z58240,120280,,"Automated Vehicle Sharing Services, Sch. 344-01",20120401,20150331,SSE,ZIPCAR,SS&E,620336,36,"$6,507.54"
S2QM590S,120281,,Qualtrax 4.X SSQL Base System With Training,20120401,20150331,SSE,QUALTRAX INC,SS&E,98600,36,
S2Z58190,120284,,Safety and Identification Signs  Sch 51-01,20120401,20150331,SSE,ARBILL INDUSTRIES INC,SS&E,100000,36,"$10,829.53"
S2Z58270,120289,,"BELT SPLICING, SCH. 802",20120401,20150331,SSE,PRUYN BEARING CO,SS&E,33001,36,
T2Z57790,120292,,Electrical Supplies Distribution & Serv Equip & Industrial Controls Sch 521-03,20120401,20150331,SSE,LINDLEY ELECTRIC SUPPLY CO,SS&E,300925,30,"$24,502.20"
S2Z57810,120298,,"SAFETY/FIRE SUPPLIES, SCH. 546",20120401,20150331,SSE,SENSOR & DECONTAMINATION INC,SS&E,149408.92,33,"$77,446.85"
S2Z58320,120302,,Speed Driver Parts  Sch 2015,20120401,20150331,SSE,PRUYN BEARING CO,SS&E,171000,36,"$2,672.40"
B2VW480L,120304,,Sigma Aldrich Reagent Cartridges,20120401,20150331,SSE,CEN MED ENTERPRISES,SS&E,68250,36,"$1,680.00"
S2OO2860,120311,,"Slabs Concrete  64""",20120401,20150331,SSE,ALTOMARE PRECAST INC,SS&E,580000,36,"$29,750.00"
S2Z57780,A20315,,RUMSEY ELECTRIC COBid # S2Z57780,20120401,20150331,SSE,RUMSEY ELECTRIC CO,SS&E,2868033.1,30,"$164,495.00"
S2YN1870,120068,,Graphic Decals,20110701,20150331,SSE,J M R GRAPHICS INC,SS&E,99727.4,33,"$19,924.00"
T1Z57170,110314,,"Seeds, Fertilizer, Herbicides, Insecticides, Fungicides, Etc",20110427,20150331,SSE,JOHN DEERE LANDSCAPES,SS&E,60001,36,"$10,032.74"
T1YN1740,110301,,Fire Boats Repair Service,20110413,20150331,SSE,GENERAL SHIP REPAIR CORP,SS&E,1271629,36,
S1YN1840,110196,,Auto Upholstery Services,20110401,20150331,SSE,STATE GLASS & UPHOLSTERY INC,SS&E,255655,36,"$7,585.00"
S1YN1780,110202,,Inspection/Maintenance of Samsco Water Evaporator,20110401,20150331,SSE,CHARLES W ROMANO CO,SS&E,30001,36,$650.00
S1YN1830,110210,,Heavy Duty Vehicle Washing,20110401,20150331,SSE,FISHTOWN FLEET WASH INC,SS&E,200001,36,"$1,943.00"
S1Z57160,110213,,Broadloom Carpet and Installation  Sch 585,20110401,20150331,SSE,PAIK INC,SS&E,381852.5,36,"$24,092.35"
S1Z57180,110215,,Transformer Oil Testing and Maintenance  Sch 2011,20110401,20150331,SSE,TRANSFORMER SERVICE INC,SS&E,83001,36,
T1YN1810,110231,,Fire Alarm System Maintenance and Repair,20110401,20150331,SSE,FIDELITY BURGLAR & FIRE ALARM CO INC,SS&E,58850,36,"$1,800.00"
S1YN180S,110235,,Rental of Trailers,20110401,20150331,SSE,HECHT TRAILERS LLC,SS&E,97000,36,"$3,705.40"
S1WQ281S,110242,,Orasure and Oraquick Advance Rapid HIV Test Devices and Controls,20110401,20150331,SSE,ORASURE TECHNOLOGIES INC,SS&E,4494500,36,"$226,724.04"
S1Z57170,110259,,"Seeds, Fertilizer, Herbicides, Insecticides, Fungicides, Etc",20110401,20150331,SSE,PENNINGTON SEED,SS&E,60001,36,"$16,785.52"
S1YN1850,110265,,Heavy Duty Truck Body Repairs,20110401,20150331,SSE,ROBS AUTOMOTIVE & COLLISION CENTER INC,SS&E,275001,36,"$102,310.72"
S1Z5756S,110267,,Maintenance Support on Agilent Equipment,20110401,20150331,SSE,AGILENT TECHNOLOGIES INC,SS&E,784711.34,36,"$11,880.00"
S1Z56650,110292,,Uniform Apparel and Accessories,20110401,20150331,SSE,AMERICAN UNIFORM SALES INC,SS&E,2900000,36,"$376,054.13"
S1Z57350,110293,,Irrigation maint and Repair Service Sch 806,20110401,20150331,SSE,IRRIGATION SYSTEMS INC,SS&E,150400,36,
S1QG828S,110300,,Purchase of Model DI950 Folding & Inserting System,20110401,20150331,SSE,PITNEY BOWES INC,SS&E,343258.6,36,
S1OO2780,110308,,Ductile Iron Pipe,20110401,20150331,SSE,FERGUSON ENTERPRISES INC,SS&E,2630000,36,"$132,679.28"
S1YN182S,A10240,,OPUS INSPECTION INCBid # S1YN182S,20110401,20150331,SSE,OPUS INSPECTION INC,SS&E,145603,36,"$27,791.01"
S1Z56830,110217,,"Elevator, Escalator and Dumbwaiter Maint & Repair Services for Various Locations",20110101,20150331,SSE,THYSSENKRUPP ELEVATOR CO,SS&E,2200000,36,"$104,965.00"
22113LTS,140107,,PLAYPOWER LT FARMINGTON INCBid # 22113LTS,20130423,20150423,SSE,PLAYPOWER LT FARMINGTON INC,SS&E,1200000,36,
S3Z59410,130323,,"Trophies, Medals, Plaques and Pins, etc.",20130501,20150430,SSE,AWARD PRODUCTS INC,SS&E,91081.9,34,"$22,503.00"
T3Z59430,130349,,Parts for Drilling and Tapping Machines,20130501,20150430,SSE,EXETER SUPPLY COMPANY INC,SS&E,168750,33,
T3Z59340,130372,,Portable Lavatory,20130501,20150430,SSE,A R F RENTAL SERVICES INC,SS&E,330162,33,"$6,559.95"
S3Z59580,130393,,Repair of Electric Motors,20130501,20150430,SSE,WILLIER ELECTRIC MOTOR CO INC,SS&E,1475050,36,"$11,233.19"
S3Z59690,130395,,Thermographed Business Cards and Gold Seal Stationary,20130501,20150430,SSE,ENVELOPES & PRINTED PRODUCTS INC,SS&E,380000,36,"$12,857.00"
S3Z59700,130397,,"Photographic Supplies, Sch. 89",20130501,20150430,SSE,P P I PHOTOGRAPHICS INC,SS&E,608219.88,36,"$146,731.06"
S1Z57270,130410,,Furniture Moving Services,20130501,20150430,SSE,IRA S DAVIS STORAGE CO INC,SS&E,241280,12,"$36,515.75"
V3Z59720,135131,,Courier Service,20130501,20150430,SSE,PRIORITY EXPRESS COURIER INC,SS&E,13121.25,36,$814.22
00009413,130122,,HUMANSCALE CORPBid # 00009413,20120919,20150430,SSE,HUMANSCALE CORP,SS&E,450000,,"$26,132.50"
S2Z58520,130043,,"ELECTRICAL EMERGENCY GENERATORS  MAINTENANCE AND REPAIR FOR DEPARTMENT OF PUBLIC PROPERTY ONLY, SCH. 927=01",20120701,20150430,SSE,GILES & RANSOME INC,SS&E,365730,33,
00009408,120355,,TRANSAMERICAN OFFICE FURNITURE INCBid # 00009408,20120618,20150430,SSE,TRANSAMERICAN OFFICE FURNITURE INC,SS&E,2000000,,"$576,777.15"
S2XL8310,120330,,REPAIR OF PORTABLE PUMPS AT SWWPCP,20120601,20150430,SSE,XYLEM DEWATERING SOLUTIONS INC,SS&E,110001,36,"$3,735.22"
T2Z58360,120306,,Paper Shredders,20120501,20150430,SSE,SECURITY ENGINEERED MACHINERY,SS&E,385001,33,"$19,024.45"
S2Z58530,120314,,After Market Automtive Collision Replacement Parts Sch 31-08,20120501,20150430,SSE,KEYSTONE AUTOMOTIVE INDUSTRIES INC,SS&E,69750,36,
S2Z58450,120317,,"Repair, maintenance and/or engineering services of electrical equipment and systems",20120501,20150430,SSE,CHARLES W ROMANO CO,SS&E,3517830,36,"$288,993.55"
S2Z58480,A20276,,TEREX SERVICESBid # S2Z58480,20120501,20150430,SSE,TEREX SERVICES,SS&E,361908,36,"$44,185.70"
S2Z57890,B20318,,CLASS ACT REPORTING LLCBid # S2Z57890,20120501,20150430,SSE,CLASS ACT REPORTING LLC,SS&E,30001,30,
S2HM8150,120080,,"Mechanical Seals, Rebuild Kits, Spiral Tracs, and Adaptors",20110801,20150430,SSE,PROCESS TECHNOLOGIES INC,SS&E,675000,33,$394.58
S1Z57240,120091,,Maintenance of Smoke & Heat Detectors  Sch 153,20110801,20150430,SSE,WAYMAN FIRE PROTECTION INC,SS&E,188800,33,"$35,960.32"
T2Z57990,120093,,Air Circulators,20110727,20150430,SSE,503 CORP,SS&E,200001,34,"$30,970.14"
U1Z5720L,110323,,Traffic Marking Compounds,20110519,20150430,SSE,SWARCO INDUSTRIES INC,SS&E,574000,36,
S1Z57210,110236,,Medical Lab and Testing Equip Repair Services  Sch 57,20110501,20150430,SSE,QUALITY MEDICAL GROUP,SS&E,428209.8,36,"$5,846.49"
S1Z57200,110244,,Traffic Marking Compounds,20110501,20150430,SSE,FLINT TRADING INC,SS&E,88049.16,36,"$132,999.85"
S1Z57290,110261,,Ferrous and Non Ferrous Metal Sch 906-01,20110501,20150430,SSE,PENNSYLVANIA STEEL CO INC,SS&E,836233,36,"$65,405.50"
T1Z56780,110278,,Rental of Passenger Vehicles,20110501,20150430,SSE,VEHICLE LEASING ASSOCIATES LLC,SS&E,490735,36,"$33,231.00"
